TYPE,LATITUDE,LONGITUDE
INJURY,52.1274404,-106.7560714
INJURY,52.1147722,-106.6197134
INJURY,52.121801,-106.6452249
INJURY,52.1277288,-106.7058105
INJURY,52.145762,-106.696751
INJURY,52.1551975,-106.6833536
INJURY,52.0799595,-106.6454516
INJURY,52.1335136,-106.6602388
INJURY,52.1182929,-106.5989246
INJURY,52.1551975,-106.6833536
INJURY,52.143858,-106.6940918
INJURY,52.1801846,-106.6464575
INJURY,52.1728947,-106.6648637
INJURY,52.1438113,-106.7258338
INJURY,52.1293275,-106.6701349
INJURY,52.1351751,-106.7044876
INJURY,52.1073156,-106.6465024
INJURY,52.13327,-106.7245755
INJURY,52.130832,-106.7273484
INJURY,52.1261718,-106.692179
INJURY,52.1147761,-106.6226931
INJURY,52.0900221,-106.6226852
INJURY,52.1258142,-106.634679
INJURY,52.1437939,-106.5868893
INJURY,52.1410445,-106.7415539
INJURY,52.0862644,-106.5360678
INJURY,52.1302344,-106.6872778
INJURY,52.1521173,-106.6441937
INJURY,52.1438578,-106.6701525
INJURY,52.1458233,-106.693114
INJURY,52.1462407,-106.5827962
INJURY,52.1288462,-106.6435998
INJURY,52.1514134,-106.7169334
INJURY,52.1309848,-106.6571934
INJURY,52.1730209,-106.6326799
INJURY,52.1731336,-106.6407568
INJURY,52.1383287,-106.6464477
INJURY,52.19454,-106.67062
INJURY,52.1438342,-106.5945635
INJURY,52.1261275,-106.5853996
INJURY,52.1257098,-106.5803447
INJURY,52.1269549,-106.6958757
INJURY,52.1418744,-106.7056934
INJURY,52.1368633,-106.6833637
INJURY,52.1199673,-106.5874742
INJURY,52.1581052,-106.6513148
INJURY,52.1419631,-106.6813638
INJURY,52.0860575,-106.5360753
INJURY,52.2320879,-106.6299702
INJURY,52.1651842,-106.64469
INJURY,52.1291168,-106.6608643
INJURY,52.1177898,-106.65685
INJURY,52.0965173,-106.6783257
INJURY,52.1147753,-106.5870853
INJURY,52.15389,-106.7030244
INJURY,52.15159,-106.67013
INJURY,52.115899,-106.7738167
INJURY,52.1258785,-106.694447
INJURY,52.1187916,-106.6623354
INJURY,52.1289415,-106.6946654
INJURY,52.1244279,-106.6681695
INJURY,52.1026528,-106.5724624
INJURY,52.12557,-106.65242
INJURY,52.1308418,-106.7242221
INJURY,52.1332901,-106.7246673
INJURY,52.1293094,-106.694095
INJURY,52.1147761,-106.6226931
INJURY,52.1212047,-106.7030488
INJURY,52.1484528,-106.5854618
INJURY,52.133357,-106.6700519
INJURY,52.16429,-106.56482
INJURY,52.1286469,-106.7013895
INJURY,52.1730749,-106.6571779
INJURY,52.1155796,-106.6335304
INJURY,52.1146927,-106.5938738
INJURY,52.1141134,-106.6329218
INJURY,52.1454021,-106.6703126
INJURY,52.13662,-106.66005
INJURY,52.1541192,-106.7014689
INJURY,52.1259931,-106.7578552
INJURY,52.1577729,-106.6422677
INJURY,52.1302169,-106.6491145
INJURY,52.1131385,-106.6227797
INJURY,52.131647,-106.6701632
INJURY,52.1302169,-106.6491145
INJURY,52.1002072,-106.6622283
INJURY,52.1275887,-106.7271645
INJURY,52.1147834,-106.6260818
INJURY,52.1335708,-106.5761372
INJURY,52.110094,-106.6567691
INJURY,52.1244279,-106.6681695
INJURY,52.1147805,-106.613857
INJURY,52.1184238,-106.6932294
INJURY,52.1945959,-106.6709126
INJURY,52.1874326,-106.6707025
INJURY,52.1293094,-106.694095
INJURY,52.1269549,-106.6958757
INJURY,52.1730632,-106.6605703
INJURY,52.1789809,-106.6700347
INJURY,52.1874373,-106.6703662
INJURY,52.1297412,-106.610672
INJURY,52.1730749,-106.6571779
INJURY,52.150046,-106.5658149
INJURY,52.092926,-106.5977109
INJURY,52.1147753,-106.5870853
INJURY,52.11476,-106.6439725
INJURY,52.124608,-106.6858527
INJURY,52.1333449,-106.7073108
INJURY,52.1155174,-106.7268439
INJURY,52.1245242,-106.6702621
INJURY,52.1569484,-106.5975613
INJURY,52.1294611,-106.728245
